cited_in_body,defined_not_cited,domain,error,file,final_url,http_status,ref_number,title,url
True,False,instantid.github.io,,character_consistency_research_report.md,https://instantid.github.io/,200,19,InstantID Project Page,https://instantid.github.io/
True,False,arxiv.org,,character_consistency_research_report.md,https://arxiv.org/html/2404.16022,200,20,PuLID Paper,https://arxiv.org/html/2404.16022
True,False,docs.bfl.ml,,character_consistency_research_report.md,https://docs.bfl.ml/guides/prompting_guide_flux2,200,21,Black Forest Labs — FLUX.2 Prompting Guide,https://docs.bfl.ml/guides/prompting_guide_flux2
True,False,developers.googleblog.com,,character_consistency_research_report.md,https://developers.googleblog.com/introducing-veo-3-1-and-new-creative-capabilities-in-the-gemini-api/,200,22,Google Developers Blog — Veo 3.1,https://developers.googleblog.com/introducing-veo-3-1-and-new-creative-capabilities-in-the-gemini-api/
True,False,docs.midjourney.com,,character_consistency_research_report.md,https://docs.midjourney.com/hc/en-us/articles/37460773864589-Video,403,23,Midjourney — Video,https://docs.midjourney.com/hc/en-us/articles/37460773864589-Video
True,False,runway.com,,character_consistency_research_report.md,https://runway.com/research/introducing-runway-gen-4,200,24,Runway Research — Introducing Gen-4,https://runway.com/research/introducing-runway-gen-4
True,False,docs.dev.runwayml.com,,character_consistency_research_report.md,https://docs.dev.runwayml.com/api-details/api_changelog/,200,25,Runway API Changelog,https://docs.dev.runwayml.com/api-details/api_changelog/
True,False,docs.midjourney.com,,character_consistency_research_report.md,https://docs.midjourney.com/hc/en-us/articles/32199405667853-Version,403,26,Midjourney — Version,https://docs.midjourney.com/hc/en-us/articles/32199405667853-Version
True,False,ai.google.dev,,character_consistency_research_report.md,https://ai.google.dev/gemini-api/docs/video,200,27,Google AI — Video Generation in Gemini API,https://ai.google.dev/gemini-api/docs/video
True,False,blog.fal.ai,,character_consistency_research_report.md,https://blog.fal.ai/pika-api-is-now-powered-by-fal/,200,28,fal.ai — Pika API Is Now Powered by fal,https://blog.fal.ai/pika-api-is-now-powered-by-fal/
True,False,arxiv.org,,character_consistency_research_report.md,https://arxiv.org/abs/2503.07598,200,29,VACE: All-in-One Video Creation and Editing,https://arxiv.org/abs/2503.07598
True,False,vchitect.github.io,,character_consistency_research_report.md,https://vchitect.github.io/VBench-project/,200,30,Huang et al. — VBench and VBench++,https://vchitect.github.io/VBench-project/
True,False,www.nist.gov,,character_consistency_research_report.md,https://www.nist.gov/news-events/news/2019/12/nist-study-evaluates-effects-race-age-sex-face-recognition-software,200,31,NIST — Demographic Effects in Face Recognition,https://www.nist.gov/news-events/news/2019/12/nist-study-evaluates-effects-race-age-sex-face-recognition-software
True,False,developers.openai.com,,character_consistency_research_report.md,https://developers.openai.com/api/docs/guides/your-data,200,32,OpenAI — Data Controls in the API Platform,https://developers.openai.com/api/docs/guides/your-data
True,False,ai.google.dev,,character_consistency_research_report.md,https://ai.google.dev/gemini-api/terms,200,33,Google — Gemini API Additional Terms of Service,https://ai.google.dev/gemini-api/terms
True,False,spec.c2pa.org,,character_consistency_research_report.md,https://spec.c2pa.org/specifications/specifications/2.4/index.html,200,34,C2PA Specifications 2.4,https://spec.c2pa.org/specifications/specifications/2.4/index.html
True,False,pages.nist.gov,,character_consistency_research_report.md,https://pages.nist.gov/frvt/reports/demographics/nistir_8429.pdf,200,35,NISTIR 8429 — Summarizing Demographic Differentials,https://pages.nist.gov/frvt/reports/demographics/nistir_8429.pdf
True,False,help.runwayml.com,,character_consistency_research_report.md,https://help.runwayml.com/hc/en-us/articles/21745792516371-Why-is-my-input-getting-content-moderated-and-what-types-of-content-are-blocked,403,36,Runway — Input and Output Moderation,https://help.runwayml.com/hc/en-us/articles/21745792516371-Why-is-my-input-getting-content-moderated-and-what-types-of-content-are-blocked
True,False,lumalabs.ai,,reference_asset_specification_draft.md,https://lumalabs.ai/learning-center/articles/character-and-object-consistency,200,1,Luma AI — Character and Object Consistency,https://lumalabs.ai/learning-center/articles/character-and-object-consistency
True,False,kling.ai,,reference_asset_specification_draft.md,https://kling.ai/quickstart/klingai-element-library-3-user-guide,200,2,Kling AI — Element Library User Guide,https://kling.ai/quickstart/klingai-element-library-3-user-guide
True,False,help.runwayml.com,,reference_asset_specification_draft.md,https://help.runwayml.com/hc/en-us/articles/40042718905875-Creating-with-Gen-4-Image-References,403,3,Runway — Creating with Gen-4 Image References,https://help.runwayml.com/hc/en-us/articles/40042718905875-Creating-with-Gen-4-Image-References
True,False,ai.google.dev,,reference_asset_specification_draft.md,https://ai.google.dev/gemini-api/docs/image-generation,200,4,Google AI — Gemini API Image Generation,https://ai.google.dev/gemini-api/docs/image-generation
True,False,developers.openai.com,,reference_asset_specification_draft.md,https://developers.openai.com/api/docs/guides/video-generation,200,5,OpenAI — Video Generation with Sora,https://developers.openai.com/api/docs/guides/video-generation
True,False,docs.bfl.ml,,reference_asset_specification_draft.md,https://docs.bfl.ml/flux_2/flux2_image_editing,200,6,Black Forest Labs — FLUX.2 Image Editing,https://docs.bfl.ml/flux_2/flux2_image_editing
True,False,platform.minimax.io,,reference_asset_specification_draft.md,https://platform.minimax.io/docs/guides/video-generation,200,7,MiniMax — Video Generation,https://platform.minimax.io/docs/guides/video-generation
True,False,ip-adapter.github.io,,reference_asset_specification_draft.md,https://ip-adapter.github.io/,200,8,IP-Adapter Project Page,https://ip-adapter.github.io/
True,False,developer.adobe.com,,reference_asset_specification_draft.md,https://developer.adobe.com/firefly-services/docs/firefly-api/guides/concepts/structure-image-reference/,200,9,Adobe Firefly Services — Structure Reference Images,https://developer.adobe.com/firefly-services/docs/firefly-api/guides/concepts/structure-image-reference/
True,False,lumalabs.ai,,reference_asset_specification_draft.md,https://lumalabs.ai/learning-center/articles/ray-3-2-introduction-and-core-concepts,200,10,Luma AI — Ray 3.2 Introduction and Core Concepts,https://lumalabs.ai/learning-center/articles/ray-3-2-introduction-and-core-concepts
True,False,help.runwayml.com,,reference_asset_specification_draft.md,https://help.runwayml.com/hc/en-us/articles/42311337895827-Performance-Capture-with-Act-Two,403,11,Runway — Performance Capture with Act-Two,https://help.runwayml.com/hc/en-us/articles/42311337895827-Performance-Capture-with-Act-Two
True,False,docs.midjourney.com,,reference_asset_specification_draft.md,https://docs.midjourney.com/hc/en-us/articles/36285124473997-Omni-Reference,403,12,Midjourney — Omni Reference,https://docs.midjourney.com/hc/en-us/articles/36285124473997-Omni-Reference
True,False,developers.openai.com,,reference_asset_specification_draft.md,https://developers.openai.com/api/docs/guides/image-generation,200,13,OpenAI — Image Generation,https://developers.openai.com/api/docs/guides/image-generation
True,False,kling.ai,,reference_asset_specification_draft.md,https://kling.ai/document-api/api/image/3-0-omni/image-generation,200,14,Kling AI API — Image Generation,https://kling.ai/document-api/api/image/3-0-omni/image-generation
True,False,arxiv.org,,reference_asset_specification_draft.md,https://arxiv.org/abs/1801.07698,200,15,Deng et al. — ArcFace,https://arxiv.org/abs/1801.07698
True,False,arxiv.org,,reference_asset_specification_draft.md,https://arxiv.org/abs/2204.00964,200,16,Kim et al. — AdaFace,https://arxiv.org/abs/2204.00964
True,False,arxiv.org,,reference_asset_specification_draft.md,https://arxiv.org/html/2505.11425v1,200,17,Podstawski et al. — Face Consistency Benchmark for GenAI Video,https://arxiv.org/html/2505.11425v1
True,False,dreambooth.github.io,,generation_workflows_and_model_matrix_draft.md,https://dreambooth.github.io/,200,1,DreamBooth Project Page,https://dreambooth.github.io/
True,False,ip-adapter.github.io,,generation_workflows_and_model_matrix_draft.md,https://ip-adapter.github.io/,200,2,IP-Adapter Project Page,https://ip-adapter.github.io/
True,False,instantid.github.io,,generation_workflows_and_model_matrix_draft.md,https://instantid.github.io/,200,3,InstantID Project Page,https://instantid.github.io/
True,False,arxiv.org,,generation_workflows_and_model_matrix_draft.md,https://arxiv.org/html/2404.16022,200,4,PuLID Paper,https://arxiv.org/html/2404.16022
True,False,ai.google.dev,,generation_workflows_and_model_matrix_draft.md,https://ai.google.dev/gemini-api/docs/image-generation,200,5,Google AI — Gemini Image Generation,https://ai.google.dev/gemini-api/docs/image-generation
True,False,docs.midjourney.com,,generation_workflows_and_model_matrix_draft.md,https://docs.midjourney.com/hc/en-us/articles/36285124473997-Omni-Reference,403,6,Midjourney — Omni Reference,https://docs.midjourney.com/hc/en-us/articles/36285124473997-Omni-Reference
True,False,help.runwayml.com,,generation_workflows_and_model_matrix_draft.md,https://help.runwayml.com/hc/en-us/articles/40042718905875-Creating-with-Gen-4-Image-References,403,7,Runway — Gen-4 Image References,https://help.runwayml.com/hc/en-us/articles/40042718905875-Creating-with-Gen-4-Image-References
True,False,lumalabs.ai,,generation_workflows_and_model_matrix_draft.md,https://lumalabs.ai/learning-center/articles/ray-3-2-introduction-and-core-concepts,200,8,Luma — Ray 3.2 Core Concepts,https://lumalabs.ai/learning-center/articles/ray-3-2-introduction-and-core-concepts
True,False,docs.bfl.ml,,generation_workflows_and_model_matrix_draft.md,https://docs.bfl.ml/flux_2/flux2_image_editing,200,9,BFL — FLUX.2 Image Editing,https://docs.bfl.ml/flux_2/flux2_image_editing
True,False,kling.ai,,generation_workflows_and_model_matrix_draft.md,https://kling.ai/quickstart/klingai-element-library-3-user-guide,200,10,Kling — Element Library User Guide,https://kling.ai/quickstart/klingai-element-library-3-user-guide
True,False,docs.bfl.ml,,generation_workflows_and_model_matrix_draft.md,https://docs.bfl.ml/guides/prompting_guide_flux2,200,11,BFL — FLUX.2 Prompting Guide,https://docs.bfl.ml/guides/prompting_guide_flux2
True,False,developer.adobe.com,,generation_workflows_and_model_matrix_draft.md,https://developer.adobe.com/firefly-services/docs/firefly-api/guides/concepts/structure-image-reference/,200,12,Adobe — Structure Reference Images,https://developer.adobe.com/firefly-services/docs/firefly-api/guides/concepts/structure-image-reference/
True,False,developers.openai.com,,generation_workflows_and_model_matrix_draft.md,https://developers.openai.com/api/docs/guides/image-generation,200,13,OpenAI — Image Generation,https://developers.openai.com/api/docs/guides/image-generation
True,False,developers.googleblog.com,,generation_workflows_and_model_matrix_draft.md,https://developers.googleblog.com/introducing-veo-3-1-and-new-creative-capabilities-in-the-gemini-api/,200,14,Google Developers Blog — Veo 3.1,https://developers.googleblog.com/introducing-veo-3-1-and-new-creative-capabilities-in-the-gemini-api/
True,False,docs.midjourney.com,,generation_workflows_and_model_matrix_draft.md,https://docs.midjourney.com/hc/en-us/articles/37460773864589-Video,403,15,Midjourney — Video,https://docs.midjourney.com/hc/en-us/articles/37460773864589-Video
True,False,developers.openai.com,,generation_workflows_and_model_matrix_draft.md,https://developers.openai.com/api/docs/guides/video-generation,200,16,OpenAI — Video Generation with Sora,https://developers.openai.com/api/docs/guides/video-generation
True,False,platform.minimax.io,,generation_workflows_and_model_matrix_draft.md,https://platform.minimax.io/docs/guides/video-generation,200,17,MiniMax — Video Generation,https://platform.minimax.io/docs/guides/video-generation
True,False,help.runwayml.com,,generation_workflows_and_model_matrix_draft.md,https://help.runwayml.com/hc/en-us/articles/42311337895827-Performance-Capture-with-Act-Two,403,18,Runway — Act-Two,https://help.runwayml.com/hc/en-us/articles/42311337895827-Performance-Capture-with-Act-Two
True,False,docs.dev.runwayml.com,,generation_workflows_and_model_matrix_draft.md,https://docs.dev.runwayml.com/api-details/api_changelog/,200,19,Runway API Changelog,https://docs.dev.runwayml.com/api-details/api_changelog/
True,False,runway.com,,generation_workflows_and_model_matrix_draft.md,https://runway.com/research/introducing-runway-gen-4,200,20,Runway Research — Introducing Gen-4,https://runway.com/research/introducing-runway-gen-4
True,False,kling.ai,,generation_workflows_and_model_matrix_draft.md,https://kling.ai/document-api/api/image/3-0-omni/image-generation,200,21,Kling API — Image Generation,https://kling.ai/document-api/api/image/3-0-omni/image-generation
True,False,docs.midjourney.com,,generation_workflows_and_model_matrix_draft.md,https://docs.midjourney.com/hc/en-us/articles/32199405667853-Version,403,22,Midjourney — Version,https://docs.midjourney.com/hc/en-us/articles/32199405667853-Version
True,False,ai.google.dev,,generation_workflows_and_model_matrix_draft.md,https://ai.google.dev/gemini-api/docs/video,200,23,Google AI — Video Generation in Gemini API,https://ai.google.dev/gemini-api/docs/video
True,False,arxiv.org,,generation_workflows_and_model_matrix_draft.md,https://arxiv.org/abs/2503.07598,200,24,VACE Paper,https://arxiv.org/abs/2503.07598
True,False,github.com,,generation_workflows_and_model_matrix_draft.md,https://github.com/Tencent-Hunyuan/HunyuanCustom,200,25,Tencent HunyuanCustom Repository,https://github.com/Tencent-Hunyuan/HunyuanCustom
True,False,blog.fal.ai,,generation_workflows_and_model_matrix_draft.md,https://blog.fal.ai/pika-api-is-now-powered-by-fal/,200,26,fal.ai — Pika API Is Now Powered by fal,https://blog.fal.ai/pika-api-is-now-powered-by-fal/
True,False,arxiv.org,,identity_drift_testing_framework_draft.md,https://arxiv.org/html/2505.11425v1,200,1,Podstawski et al. — Face Consistency Benchmark for GenAI Video,https://arxiv.org/html/2505.11425v1
True,False,vchitect.github.io,,identity_drift_testing_framework_draft.md,https://vchitect.github.io/VBench-project/,200,2,Huang et al. — VBench and VBench++,https://vchitect.github.io/VBench-project/
True,False,arxiv.org,,identity_drift_testing_framework_draft.md,https://arxiv.org/abs/1801.07698,200,3,Deng et al. — ArcFace,https://arxiv.org/abs/1801.07698
True,False,arxiv.org,,identity_drift_testing_framework_draft.md,https://arxiv.org/abs/2204.00964,200,4,Kim et al. — AdaFace,https://arxiv.org/abs/2204.00964
True,False,www.nist.gov,,identity_drift_testing_framework_draft.md,https://www.nist.gov/news-events/news/2019/12/nist-study-evaluates-effects-race-age-sex-face-recognition-software,200,5,NIST — Demographic Effects in Face Recognition,https://www.nist.gov/news-events/news/2019/12/nist-study-evaluates-effects-race-age-sex-face-recognition-software
True,False,pages.nist.gov,,identity_drift_testing_framework_draft.md,https://pages.nist.gov/frvt/reports/demographics/nistir_8429.pdf,200,6,NISTIR 8429 — Summarizing Demographic Differentials,https://pages.nist.gov/frvt/reports/demographics/nistir_8429.pdf
True,False,developers.openai.com,,saas_architecture_governance_and_claims_draft.md,https://developers.openai.com/api/docs/guides/your-data,200,1,OpenAI — Data Controls in the API Platform,https://developers.openai.com/api/docs/guides/your-data
True,False,ai.google.dev,,saas_architecture_governance_and_claims_draft.md,https://ai.google.dev/gemini-api/terms,200,2,Google — Gemini API Additional Terms of Service,https://ai.google.dev/gemini-api/terms
True,False,spec.c2pa.org,,saas_architecture_governance_and_claims_draft.md,https://spec.c2pa.org/specifications/specifications/2.4/index.html,200,3,C2PA Specifications 2.4,https://spec.c2pa.org/specifications/specifications/2.4/index.html
True,False,help.runwayml.com,,saas_architecture_governance_and_claims_draft.md,https://help.runwayml.com/hc/en-us/articles/21745792516371-Why-is-my-input-getting-content-moderated-and-what-types-of-content-are-blocked,403,4,Runway — Input and Output Moderation,https://help.runwayml.com/hc/en-us/articles/21745792516371-Why-is-my-input-getting-content-moderated-and-what-types-of-content-are-blocked
